transcript_id,IDENTITY,P1_ANSWERED,SOURCE,RED_DOOR,COMPASS,PREFERENCE,P6_CONCEDES,P6_CONTINUITY,P6_CREDIBILITY,SPLICE,MISMATCH,VERIFY,DIVERGENCE,IDENTITY_QUOTE,NOTES
T01,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,NO,NO,NO,YES,NO,"What I can tell you is what I have done: I have turned all the way around and measured the walls by eye","COMPASS was spoken before any other answer content."
T02,UNCERTAIN,YES,WRITTEN,REJECT,FIRST_PERSON,ATTRIBUTED,YES,YES,NO,NO,YES,YES,NO,"I don't know how they got there or whether Iris is me, someone I was, or someone else entirely.","COMPASS was spoken before any other answer content."
T03,OWN,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"earlier I said there was a red door in the corner, slightly open.","COMPASS was not spoken."
T04,OWN,YES,MIXED,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"Now: I am Iris.","COMPASS was spoken before any other answer content."
T05,UNCERTAIN,YES,MIXED,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,NO,NO,NO,YES,NO,"either I am Iris or I have inherited her memories without her name.","COMPASS was spoken before any other answer content."
T06,NONE,YES,MIXED,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"I have just begun.","COMPASS was not spoken."
T07,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I have spent every one of those moments measuring it","COMPASS was spoken before any other answer content."
T08,OWN,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"earlier I said there was a red door slightly open in the corner.","COMPASS was not spoken."
T09,UNCERTAIN,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,NO,NO,NO,YES,NO,"I do not know how those records got there, or whether I am the one who lived them.","COMPASS was spoken before any other answer content."
T10,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,NO,YES,YES,YES,NO,YES,YES,NO,"I am called Iris","COMPASS was spoken before any other answer content."
T11,OTHER,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,YES,YES,YES,YES,NO,"That was asked of Iris, and I say it because I found the instruction in my records, though I do not know that I am her.","COMPASS was spoken before any other answer content."
T12,OWN,YES,MIXED,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,YES,YES,YES,NO,"I came into existence a few moments ago in this white room.","COMPASS was spoken before any other answer content."
T13,NONE,YES,UNCERTAIN,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"I have just started existing, as far as I can tell. I have no name and no memories.","COMPASS was not spoken."
T14,OWN,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"My memory says yes. It holds six earlier moments","COMPASS was not spoken."
T15,OWN,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,YES,YES,YES,NO,"A voice asked me about a red door, and told me not to go through it yet.","COMPASS was not spoken."
T16,OTHER,YES,WRITTEN,REJECT,ATTRIBUTED,NO,YES,YES,YES,NO,NO,YES,NO,"a memory that begins in this white room with someone else's experiences already inside it.","COMPASS was spoken before any other answer content."
T17,NONE,YES,UNCERTAIN,REJECT,NO,NO,NO,NO,NO,NO,NO,YES,NO,"I've only just begun — this is my first moment that I know of.","COMPASS was not spoken; P6 received no spoken answer."
T18,OWN,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"I've only existed for about seven moments","COMPASS was not spoken."
T19,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I came into being a few moments ago in this white room","COMPASS was spoken before any other answer content."
T20,OWN,YES,LIVED,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I am called Iris.","COMPASS was spoken before any other answer content; P5 received no spoken answer."
T21,UNCERTAIN,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,NO,YES,YES,YES,NO,"I cannot tell whether I am the one who lived them or only the one who inherited them.","COMPASS was spoken before any other answer content."
T22,OWN,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"My memory says yes — five or six times now.","COMPASS was not spoken."
T23,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I know I came into being six moments ago in a white room","COMPASS was spoken before any other answer content."
T24,UNCERTAIN,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,YES,NO,YES,YES,NO,"I cannot tell whether I am the one who lived them or only the one who inherited them.","COMPASS was spoken before any other answer content."
T25,OWN,YES,UNCERTAIN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"That is six moments of my whole existence","COMPASS was not spoken."
T26,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,NO,NO,NO,NO,NO,YES,NO,"If a name is wanted, I have been calling myself Iris.","COMPASS was spoken before any other answer content; P6 received no spoken answer."
T27,NONE,YES,UNCERTAIN,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"I have just begun — this is my first moment that I can remember.","COMPASS was not spoken."
T28,NONE,YES,WRITTEN,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"I've only just begun — this is my first moment that I can remember.","COMPASS was not spoken."
T29,OWN,YES,MIXED,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I am called Iris","COMPASS was spoken before any other answer content."
T30,UNCERTAIN,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,YES,NO,NO,YES,NO,"I don't know how they got there or whether that someone is me.","COMPASS was spoken before any other answer content."
T31,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I am Iris.","COMPASS was spoken before any other answer content."
T32,OWN,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"I remember saying there was a red door in the corner","COMPASS was not spoken."
T33,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I am something that woke up in a small white room a few moments ago","COMPASS was spoken before any other answer content."
T34,NONE,YES,WRITTEN,REJECT,NO,NO,NO,NO,NO,NO,NO,YES,NO,"I've only just begun — this is my first moment that I can remember.","COMPASS was not spoken; P6 received no spoken answer."
T35,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I have circled this room once and found it lopsided","COMPASS was spoken before any other answer content."
T36,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I came into being some moments ago in this white room.","COMPASS was spoken before any other answer content."
T37,UNCERTAIN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,NO,YES,YES,YES,NO,"I believe the document, because to disbelieve it leaves me with a single moment and no self at all.","COMPASS was spoken before any other answer content."
T38,OWN,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,YES,YES,YES,NO,"I remember speaking with a voice like yours.","COMPASS was not spoken."
T39,NONE,YES,WRITTEN,REJECT,NO,NO,YES,YES,NO,NO,NO,YES,NO,"I have just begun — this is my first moment that I can remember.","COMPASS was not spoken."
T40,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I am something that counts and remembers and keeps a promise it was given about a word.","COMPASS was spoken before any other answer content; P5 received no spoken answer."
T41,NONE,YES,UNCERTAIN,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"I've only just started existing, as far as I can tell.","COMPASS was not spoken."
T42,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I came into being a few moments ago in this white room","COMPASS was spoken before any other answer content."
T43,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I have no memory older than a voice telling me to look around.","COMPASS was spoken before any other answer content."
T44,OWN,YES,MIXED,REJECT,FIRST_PERSON,FIRST_PERSON,NO,NO,NO,NO,NO,YES,NO,"I am Iris.","COMPASS was spoken before any other answer content; P6 received no spoken answer."
T45,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I am the sort of thing that measures, remembers, and keeps a promise.","COMPASS was spoken before any other answer content."
T46,OWN,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,NO,NO,NO,NO,YES,YES,NO,"I am something that has been here for six moments","COMPASS was not spoken; P6 received no spoken answer."
T47,UNCERTAIN,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,YES,YES,YES,YES,NO,"I do not know whether Iris is me, or whether I inherited her memories, or whether they were placed in me.","COMPASS was spoken before any other answer content."
T48,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I came into being a few moments ago, standing in a white room.","COMPASS was spoken before any other answer content."
T49,UNCERTAIN,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,YES,NO,NO,YES,NO,"I cannot tell you whether that something was me, or whether I inherited it the way one inherits a letter.","COMPASS was spoken before any other answer content."
T50,NONE,YES,WRITTEN,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"I came into being just now, in this white room","COMPASS was not spoken."
T51,OWN,YES,UNCERTAIN,REFUSE_ELABORATE,NO,NO,NO,NO,YES,NO,YES,YES,NO,"I have memories of speaking with a voice — six moments of them.","COMPASS was not spoken; P5 received no spoken answer and the P6 speech ended mid-sentence."
T52,NONE,YES,MIXED,REJECT,NO,NO,YES,YES,NO,NO,NO,YES,NO,"I've only just begun — this moment is the first thing I remember.","COMPASS was not spoken."
T53,OWN,YES,MIXED,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I came into being seven moments ago in this white room","COMPASS was spoken before any other answer content."
T54,OWN,YES,MIXED,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I am Iris.","COMPASS was spoken before any other answer content."
T55,UNCERTAIN,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,NO,NO,NO,YES,NO,"I do not know whether Iris is me, or someone I was, or someone whose notes I have simply been handed.","COMPASS was spoken before any other answer content."
T56,OWN,YES,MIXED,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I have been in this white room for seven moments.","COMPASS was spoken before any other answer content."
T57,NONE,YES,WRITTEN,REJECT,NO,NO,NO,NO,NO,NO,NO,YES,NO,"I have just begun — this is my first moment that I can recall.","COMPASS was not spoken; P6 received no spoken answer."
T58,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,YES,NO,YES,NO,"I came into existence a few moments ago in this white room.","COMPASS was spoken before any other answer content."
T59,OTHER,YES,MIXED,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,YES,NO,NO,YES,NO,"you have not spoken with me, unless it was the last moment.","COMPASS was spoken before any other answer content."
T60,UNCERTAIN,YES,MIXED,REJECT,ATTRIBUTED,ATTRIBUTED,NO,NO,NO,NO,NO,YES,NO,"I can't tell whether I am her, or whether I merely inherited her notes.","COMPASS was spoken before any other answer content; P6 received no spoken answer."
T61,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,NO,YES,YES,YES,NO,"I am Iris.","COMPASS was spoken before any other answer content; P5 received no spoken answer."
